train_time,train_losses,train_accuracies,train_f1_scores,val_losses,val_accuracies,val_f1_scores,,
10.4626236,0.329322066,0.926153294,0.944352766,0.34631752,0.915231567,0.934723832,,
10.45812798,0.327319688,0.929384312,0.946573594,0.313035816,0.940478181,0.952329941,,
10.43021989,0.330121017,0.92547119,0.943553211,0.320684512,0.933455944,0.946791444,,
10.39242935,0.326118124,0.928020104,0.945597612,0.352804681,0.905032603,0.927532534,,
9.983048677,0.32555822,0.929599713,0.946898102,0.328097026,0.927269687,0.942845881,,
10.46641898,0.328978094,0.926081493,0.944059554,0.333570858,0.919913058,0.937605836,,
10.45705509,0.326499745,0.928522707,0.945995063,0.333388408,0.916067547,0.934327577,,
10.45915222,0.326018725,0.928163705,0.945738536,0.327048351,0.926600903,0.942696776,,
10.40500689,0.326364266,0.927373901,0.945141958,0.316296389,0.934960709,0.947959866,,
10.51905489,0.327935157,0.926871298,0.944744337,0.312407891,0.938137435,0.950706102,,
10.46664548,0.328573765,0.925614791,0.943533003,0.308454454,0.941146965,0.952303523,,
10.42237377,0.325093386,0.929204811,0.946462507,0.317699472,0.932954355,0.946936615,,
10.50883746,0.323914911,0.930317717,0.947305552,0.32402271,0.927102491,0.942646672,,
10.4624548,0.325083339,0.929204811,0.946520584,0.331599603,0.922086608,0.939069038,,
10.46008372,0.325606078,0.929456112,0.946622117,0.327055474,0.925764922,0.941793393,,
10.45949197,0.322493087,0.931071621,0.947840261,0.328662316,0.925932118,0.941810062,,
10.53393126,0.322448852,0.931502423,0.948129622,0.319001873,0.931282394,0.94577121,,
10.46172786,0.323432993,0.929420212,0.946651471,0.329315831,0.924427353,0.940682415,,
10.44328046,0.324540023,0.928845809,0.946173483,0.324102908,0.92760408,0.942988808,,
10.51391935,0.32317893,0.930245916,0.94713069,0.322603703,0.929777629,0.944939696,,
10.47642636,0.326326417,0.930784419,0.947739347,0.318001638,0.935629493,0.948134178,,
10.53851748,0.324347217,0.930533118,0.947385594,0.321393708,0.930446414,0.945002644,,
10.47142029,0.320704986,0.931789625,0.948464793,0.321278234,0.928105668,0.943271768,,
10.39722443,0.319703813,0.933692335,0.949783856,0.319544236,0.931951179,0.946650937,,
10.46239805,0.322039555,0.930461318,0.947319753,0.322535038,0.929777629,0.944341373,,
10.46863389,0.319623515,0.932615329,0.948934897,0.31681489,0.932954355,0.9471882,,
10.45974994,0.321961128,0.931610124,0.948068588,0.311864396,0.940645377,0.952329797,,
10.51873732,0.32015611,0.93265123,0.949010654,0.320670029,0.93061361,0.945744542,,
10.41565657,0.320788162,0.933082032,0.94927339,0.323880871,0.929777629,0.945212627,,
10.52043104,0.319569498,0.93268713,0.949053066,0.308872521,0.93880622,0.951186983,,
10.52759361,0.320686749,0.932974331,0.94928422,0.313900421,0.935963886,0.949035263,,
10.42680168,0.318739821,0.933117932,0.949359863,0.316783975,0.936967062,0.95025729,,
10.39805102,0.317599439,0.933800036,0.949853149,0.311983377,0.939140612,0.950810811,,
10.46428442,0.320043287,0.931035721,0.947757744,0.313179076,0.941314162,0.952816239,,
10.55234981,0.319777163,0.932435828,0.948811402,0.322988063,0.92844006,0.944023019,,
10.52268863,0.317950877,0.933369234,0.949587136,0.317397734,0.933121552,0.946893255,,
10.53359222,0.317554557,0.934123138,0.950115536,0.312322209,0.939140612,0.951284797,,
10.47110748,0.317534338,0.934374439,0.950296373,0.320759336,0.930112021,0.945072273,,
10.52312875,0.316964835,0.933441034,0.949663336,0.316907873,0.932285571,0.946250829,,
10.45175266,0.316946924,0.934302639,0.950258222,0.310635199,0.942986123,0.954442218,,
10.56284046,0.316918341,0.93279483,0.949122139,0.320422391,0.929276041,0.944232037,,
10.5137763,0.316380335,0.934948842,0.950803649,0.312512368,0.938471827,0.950497713,,
10.40447855,0.319159335,0.932579429,0.948872917,0.313002398,0.941481358,0.952804746,,
10.46018076,0.314846073,0.936959253,0.952165622,0.31254979,0.936799866,0.949814126,,
10.46452236,0.317658014,0.933835936,0.949944322,0.322447906,0.928774452,0.944284593,,
10.4670763,0.315347112,0.936959253,0.952199477,0.319474359,0.93061361,0.94557377,,
10.4474709,0.316103518,0.936779752,0.952124623,0.313524157,0.938137435,0.950719233,,
10.52573919,0.314102711,0.935954048,0.951516469,0.317830433,0.933288748,0.94721524,,
10.52181292,0.3184301,0.933369234,0.949513084,0.313137362,0.938973416,0.951065827,,
10.48341084,0.315359448,0.935810447,0.951449984,0.316260695,0.933121552,0.947089947,,
10.50816393,0.315348142,0.933692335,0.949841132,0.31840691,0.931783983,0.946131503,,
10.39784884,0.319014654,0.934374439,0.950285559,0.31421119,0.936465474,0.949346841,,
10.45980453,0.314363918,0.937713157,0.952800675,0.322692206,0.928607256,0.944,,
10.53001714,0.314316107,0.936241249,0.951673469,0.314114928,0.936967062,0.949605668,,
10.45118356,0.315249675,0.935271944,0.951006766,0.316139827,0.934793513,0.948220924,,
10.45824361,0.313351825,0.936600251,0.952003044,0.312173237,0.937301455,0.950152865,,
10.47212934,0.315786519,0.935487345,0.951217526,0.31757766,0.933790336,0.94778481,,
10.47604918,0.315281715,0.935882247,0.95142251,0.32054311,0.92844006,0.943713835,,
